OPC (%),CC (%),LP (%),NC (%),GYP (%),S/B,W/B,SP (%),Time,DYS (Pa)
100,0,0,0,0,1.5,0.4,0.5,0,455
75,0,23,0,2,1.5,0.5,1,0,452
72.5,5,20.5,0,2,1.5,0.5,1,0,503
70,10,18,0,2,1.5,0.5,1,0,555
67.5,15,15.5,0,2,1.5,0.5,1,0,610
65,20,13,0,2,1.5,0.5,1.5,0,738
62.5,25,10.5,0,2,1.5,0.5,1.5,0,800
60,30,8,0,2,1.5,0.5,1.5,0,845
57.5,35,5.5,0,2,1.5,0.5,1.5,0,895
55,40,3,0,2,1.5,0.5,1.5,0,955
55,43,0,0,2,1.5,0.5,1.5,0,1026
75,15,8,0,2,1.5,0.5,1.5,0,655
70,18,10,0,2,1.5,0.5,1.5,0,705
65,21,12,0,2,1.5,0.5,1.5,0,716
60,24,14,0,2,1.5,0.5,1.5,0,801
55,27,16,0,2,1.5,0.5,1.5,0,875
50,30,17,0,3,1.5,0.5,1.5,0,950
45,34,18,0,3,1.5,0.5,1.5,0,995
67.5,15,15.5,0,2,2.5,0.5,1.5,0,830
65,20,13,0,2,0.5,0.5,1.5,0,426
75,15,8,0,2,1.5,0.5,1.5,0,489
70,18,10,0,2,1.5,0.45,1.5,0,830
55,27,16,0,2,1.5,0.5,1,0,975
50,30,17,0,3,1.5,0.5,2.5,0,825
60,30,8,0,2,2,0.45,1.5,0,975
57.5,35,5.5,0,2,1.5,0.55,2.5,0,645
72.5,5,20.5,0,2,2,0.45,1.5,0,540
40,37,20,0,3,1.5,0.5,1.5,0,1027
65,20,13,0.5,2,1.5,0.52,1.5,0,951
60,30,8,1,2,1.5,0.52,1.5,0,1007
75,15,8,2,2,1.5,0.52,1.5,0,873
65,21,12,3,2,1.5,0.55,1.5,0,954
60,24,14,4,2,1.5,0.55,1.5,0,1028
55,27,16,1.25,2,1.5,0.55,1.5,0,975
55,27,16,2.5,2,1.5,0.55,1.5,0,1059
55,27,16,3.75,2,1.5,0.55,1.5,0,990
55,27,16,5,2,1.5,0.55,1.5,0,976
100,0,0,0,0,1.5,0.4,0.5,1,505
75,0,23,0,2,1.5,0.5,1,1,485
72.5,5,20.5,0,2,1.5,0.5,1,1,561
70,10,18,0,2,1.5,0.5,1,1,605
67.5,15,15.5,0,2,1.5,0.5,1,1,671
65,20,13,0,2,1.5,0.5,1.5,1,813
62.5,25,10.5,0,2,1.5,0.5,1.5,1,848
60,30,8,0,2,1.5,0.5,1.5,1,893
57.5,35,5.5,0,2,1.5,0.5,1.5,1,948
55,40,3,0,2,1.5,0.5,1.5,1,1024
55,43,0,0,2,1.5,0.5,1.5,1,1098
75,15,8,0,2,1.5,0.5,1.5,1,721
70,18,10,0,2,1.5,0.5,1.5,1,754
65,21,12,0,2,1.5,0.5,1.5,1,798
60,24,14,0,2,1.5,0.5,1.5,1,847
55,27,16,0,2,1.5,0.5,1.5,1,941
50,30,17,0,3,1.5,0.5,1.5,1,1025
45,34,18,0,3,1.5,0.5,1.5,1,1035
67.5,15,15.5,0,2,2.5,0.5,1.5,1,992
65,20,13,0,2,0.5,0.5,1.5,1,510
75,15,8,0,2,1.5,0.5,1.5,1,527
70,18,10,0,2,1.5,0.45,1.5,1,921
55,27,16,0,2,1.5,0.5,1,1,1041
50,30,17,0,3,1.5,0.5,2.5,1,885
60,30,8,0,2,2,0.45,1.5,1,1056
57.5,35,5.5,0,2,1.5,0.55,2.5,1,698
72.5,5,20.5,0,2,2,0.45,1.5,1,645
40,37,20,0,3,1.5,0.5,1.5,1,1079
65,20,13,0.5,2,1.5,0.52,1.5,1,1001
60,30,8,1,2,1.5,0.52,1.5,1,1188
75,15,8,2,2,1.5,0.52,1.5,1,945
65,21,12,3,2,1.5,0.55,1.5,1,1091
60,24,14,4,2,1.5,0.55,1.5,1,1116
55,27,16,1.25,2,1.5,0.55,1.5,1,1058
55,27,16,2.5,2,1.5,0.55,1.5,1,1095
55,27,16,3.75,2,1.5,0.55,1.5,1,1037
55,27,16,5,2,1.5,0.55,1.5,1,1017
